"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"89 698";"A";"2021";"Métropole";"Accident Léger";"MMB75J2CA808";"VT";"17"
"89 699";"A";"2021";"Métropole";"Accident Léger";"M10JT0VP004Y219";"VT";"7"
"89 700";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"31"
"89 701";"A";"2021";"Métropole";"Accident Léger";"MRE5316AW914";"VT";"14"
"89 702";"A";"2021";"Métropole";"Accident Léger";"M10CTRVP000W395";"VT";"10"
"89 702";"B";"2021";"Métropole";"Accident Léger";"MRE5316AW914";"VT";"14"
"89 703";"A";"2021";"Métropole";"Accident Léger";"M10FRDVP039R083";"VT";"7"
"89 703";"B";"2021";"Métropole";"Accident Léger";"M10FRDVP397V980";"VT";"0"
"89 704";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"25"
"89 704";"B";"2021";"Métropole";"Accident Léger";"M10JT0VP016J325";"VT";"4"
"89 706";"A";"2021";"Métropole";"Accident Léger";"M10PGTVP036C833";"VT";"5"
"89 706";"B";"2021";"Métropole";"Accident Léger";"MMN1401AE098";"VT";"16"
"89 707";"A";"2021";"Métropole";"Accident Léger";"MRE1112A7311";"VT";"17"
"89 707";"B";"2021";"Métropole";"Accident Léger";"M10FATVP096Z873";"VT";"3"
"89 707";"C";"2021";"Métropole";"Accident Léger";"MPE1112KA247";"VT";"13"
"89 708";"B";"2021";"Métropole";"Accident Léger";"MCT5202SY896";"VT";"14"
"89 709";"B";"2021";"Métropole";"Accident Léger";"N/A";"VT";"N/A"
"89 710";"A";"2021";"Métropole";"Accident Léger";"MPE7512PQ103";"VT";"15"
"89 710";"B";"2021";"Métropole";"Accident Léger";"MRE001AF2043";"VT";"23"
"89 711";"A";"2021";"Métropole";"Accident Léger";"M10PGTVP0045398";"VT";"8"
"89 712";"A";"2021";"Métropole";"Accident Léger";"N/A";"Moto lourde";"21"
"89 713";"A";"2021";"Métropole";"Accident Léger";"MRE5306A6792";"VT";"20"
"89 713";"B";"2021";"Métropole";"Accident Léger";"L6ECTE4M000B002";"Autres";"9"
"89 714";"A";"2021";"Métropole";"Accident grave non mortel";"MPE5211TP268";"VT";"14"
"89 715";"A";"2021";"Métropole";"Accident grave non mortel";"M10VWGVPH67G256";"VT";"6"
"89 715";"B";"2021";"Métropole";"Accident grave non mortel";"LYM19L40T352";"Moto lourde";"14"
"89 716";"A";"2021";"Métropole";"Accident Léger";"MRE5002EC699";"VT";"20"
"89 717";"A";"2021";"Métropole";"Accident Léger";"ZCFCA35B00D6521";"VU";"0"
"89 717";"B";"2021";"Métropole";"Accident Léger";"M10RENVP003X857";"VT";"9"
"89 718";"A";"2021";"Métropole";"Accident Léger";"M10CTRVP000Y009";"VT";"11"
"89 718";"B";"2021";"Métropole";"Accident Léger";"MJZ1312FJ329";"VT";"19"
"89 718";"C";"2021";"Métropole";"Accident Léger";"MAU1711M1995";"VT";"12"
"89 719";"B";"2021";"Métropole";"Accident Léger";"MPE5011T3267";"VT";"15"
"89 719";"Z";"2021";"Métropole";"Accident Léger";"MFT11211J184";"VT";"13"
"89 720";"A";"2021";"Métropole";"Accident Léger";"MSE1121GH871";"VT";"17"
"89 720";"B";"2021";"Métropole";"Accident Léger";"MBM5432NQ491";"VT";"15"
"89 721";"A";"2021";"Métropole";"Accident Léger";"M10FATVP014J551";"VT";"6"
"89 721";"B";"2021";"Métropole";"Accident Léger";"N/A";"VU";"20"
"89 722";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"0"
"89 722";"B";"2021";"Métropole";"Accident Léger";"MVW55G2EP593";"VT";"19"
"89 722";"C";"2021";"Métropole";"Accident Léger";"M10SETVP009U259";"VT";"0"
"89 723";"A";"2021";"Métropole";"Accident Léger";"N10FRDCT427J582";"VU";"0"
"89 723";"B";"2021";"Métropole";"Accident Léger";"MVW53E6WZB03";"VT";"13"
"89 724";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"Cyclo";"8"
"89 725";"A";"2021";"Métropole";"Accident Léger";"MCT1102PN680";"VT";"18"
"89 725";"B";"2021";"Métropole";"Accident Léger";"M10PGTVP0112557";"VT";"6"
"89 725";"C";"2021";"Métropole";"Accident Léger";"MVW56K4KXD24";"VT";"12"
"89 726";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"Cyclo";"13"
"89 727";"A";"2021";"Métropole";"Accident Léger";" M10PGTVP000T23";"VT";"11"
"89 728";"A";"2021";"Métropole";"Accident Léger";"M10VWGVP808H470";"VT";"8"
"89 728";"B";"2021";"Métropole";"Accident Léger";"M10JT0VP017V397";"VT";"4"
"89 729";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"17"
"89 730";"A";"2021";"Métropole";"Accident grave non mortel";"M10AUDVP004S632";"VT";"9"
"89 731";"A";"2021";"Métropole";"Accident Léger";"N/A";"TC";"11"
"89 732";"A";"2021";"Métropole";"Accident Léger";"JYA4TX000000184";"Moto lourde";"24"
"89 732";"B";"2021";"Métropole";"Accident Léger";"M10SETVP0021395";"VT";"7"
"89 733";"A";"2021";"Métropole";"Accident grave non mortel";"MRE5022EW559";"VT";"14"
"89 734";"A";"2021";"Métropole";"Accident grave non mortel";"MCT5002PY980";"VT";"14"
"89 735";"B";"2021";"Métropole";"Accident Léger";"L1EPGGCL000K908";"Cyclo";"1"
"89 735";"Z";"2021";"Métropole";"Accident Léger";"N/A";"VT";"N/A"
"89 736";"A";"2021";"Métropole";"Accident Léger";"L1EPGTCL003U999";"Cyclo";"8"
"89 736";"B";"2021";"Métropole";"Accident Léger";"M10NSSVP0202528";"VT";"7"
"89 737";"A";"2021";"Métropole";"Accident Léger";"M10FATVP049N265";"VT";"6"
"89 738";"A";"2021";"Métropole";"Accident Léger";"N10CTRCT0356245";"VU";"6"
"89 738";"B";"2021";"Métropole";"Accident Léger";"L3EKWAM2000V074";"Moto lourde";"10"
"89 739";"A";"2021";"Métropole";"Accident Léger";"N/A";"VT";"19"
"89 739";"B";"2021";"Métropole";"Accident Léger";"M10PGTVP056A168";"VT";"4"
"89 740";"A";"2021";"Métropole";"Accident Léger";"M10FATVP145U140";"VT";"3"
"89 741";"A";"2021";"DOM";"Accident Léger";"VF1FC0DAF192958";"VT";"22"
"89 741";"B";"2021";"DOM";"Accident Léger";"MRE5302CP719";"VT";"20"
